phrase,count
production nbs,3
trinity academy,3
safety measures,3
green belt,3
thetford riverside,3
community building,3
costed condition,3
school classroom,3
teaching education,3
primary structure,3
change building,3
calculations liaising,3
ground concept,3
sample board,3
physical sample,3
production physical,3
approved production,3
options approved,3
strategy options,3
director new,3
planning acting,3
stakeholder engagement,3
cdt building,3
select colour,3
layouts select,3
discuss layouts,3
user discuss,3
meet user,3
pages meet,3
report pages,3
production report,3
costs minimise,3
engagement production,3
following user,3
amendments following,3
sets amendments,3
glazing bars,3
highways drainage,3
allow 2no,3
layouts allow,3
initial ffe,3
production initial,3
ground beams,3
piled reinforced,3
completely new,3
population growth,3
cater population,3
aim new,3
primary aim,3
alderman peel,3
school children,3
colour strategy,3
school secondary,3
important heritage,3
principal heritage,3
tasked principal,3
ground first,3
response growing,3
new standalone,3
standalone expansion,3
energy savings,3
autism unit,3
primary schools,3
kirkgate 1875,3
2no sets,3
restricted access,3
cornwall police,3
devon cornwall,3
surveying cdm,3
new refurb,3
liaised engineers,3
castle museum,3
city hall,3
engineers producing,3
stakeholders specific,3
thetford drake,3
data acquisition,3
point clouds,3
north street,3
education response,3
new 224,3
tendering arranged,3
feasibility tendering,3
carried feasibility,3
junior srb,3
parklife woodhall,3
strong community,3
excellence student,3
soft spot,3
traditional shallow,3
achieving secondary,3
new small,3
side building,3
foundation deepening,3
pad foundation,3
substructure traditional,3
slip panels,3
brick slip,3
steeply sloping,3
yarmouth semh,3
architecure education,3
production information,2
mountfield care,2
norwich city,2
revit pipework,2
pipework ventilation,2
ventilation models,2
autocad plans,2
plans schematics,2
expansion cad,2
architects engineers,2
revit families,2
demand secondary,2
alterations sen,2
producing autocad,2
autocad enabling,2
school reception,2
arden grove,2
hillcrest primary,2
downham hillcrest,2
caister junior,2
coastal erosion,2
cross sections,2
monitoring happisburgh,2
planning execution,2
drone technology,2
data produce,2
land environmental,2
topographical surveys,2
recycling centres,2
medway recycling,2
total station,2
workshops superstructure,2
technology workshops,2
value followed,2
significance value,2
enhancing historic,2
preserving enhancing,2
building preserving,2
consent consider,2
submitting listed,2
early submitting,2
officer early,2
home refurbishment,2
manor care,2
dolphin manor,2
place tower,2
flax place,2
wave model,2
schools wave,2
rise residential,2
road residential,2
improving accessibility,2
upgrade infrastructure,2
listed former,2
yeadon town,2
coronavirus pandemic,2
specific coronavirus,2
nursery building,2
school together,2
pmp building,2
lcc primary,2
annual lcc,2
coordinated ventilation,2
kitchen teaching,2
teaching attached,2
standalone teaching,2
academy standalone,2
srb projects,2
blofield education,2
cringleford silfield,2
model school,2
differential settlement,2
scjhools programmes,2
maintenanse scjhools,2
capitalised maintenanse,2
savings calculations,2
house autism,2
schools bim,2
model schools,2
pad strip,2
traditional pad,2
constructed traditional,2
remaining constructed,2
beams remaining,2
division piled,2
natural division,2
residential completely,2
growth new,2
cringleford prep,2
colchester hra,2
tehnical education,2
expansion tehnical,2
school srp,2
contains general,2
teaching contains,2
allow sides,2
enable allow,2
disciplines enable,2
carried disciplines,2
cohort production,2
pupil cohort,2
moving pupil,2
involve moving,2
school involve,2
minimise differential,2
used minimise,2
joints used,2
dowelled joints,2
interface dowelled,2
footings interface,2
strip footings,2
angle change,2
length angle,2
liaising length,2
concept carrying,2
elsewhere suspended,2
board production,2
joint natural,2
using movement,2
building using,2
varied building,2
solution varied,2
carbon foundation,2
minimise embodied,2
without stresses,2
expand without,2
sides building,2
mixture pitched,2
single mixture,2
swaffham single,2
100 affordable,2
angle plan,2
changes angle,2
joint building,2
length building,2
building length,2
foundations elsewhere,2
pad foundations,2
solution traditional,2
plan substructure,2
detailing carried,2
structure detailing,2
joint primary,2
assets delivering,2
small initiated,2
brentwood technologist,2
passivhaus standards,2
private sale,2
expansion mep,2
fairfield road,2
board point,2
academy board,2
colour academy,2
selected colour,2
consideration selected,2
specific consideration,2
approval specific,2
includes attached,2
pitched flat,2
library community,2
story office,2
road housing,2
